45|49|49|65|65|45|318
60|62|63|80|80|60|405
80|82|83|100|100|80|525
39|52|43|60|50|65|309
58|64|58|80|65|80|405
78|84|78|109|85|100|534
44|48|65|50|64|43|314
59|63|80|65|80|58|405
79|83|100|85|105|78|530
45|30|35|20|20|45|195
50|20|55|25|25|30|205
60|45|50|80|80|70|385
40|35|30|20|20|50|195
45|25|50|25|25|35|205
65|80|40|45|80|75|385
40|45|40|35|35|56|251
63|60|55|50|50|71|349
83|80|75|70|70|91|469
30|56|35|25|35|72|253
55|81|60|50|70|97|413
40|60|30|31|31|70|262
65|90|65|61|61|100|442
35|60|44|40|54|55|288
60|85|69|65|79|80|438
35|55|30|50|40|90|300
60|90|55|90|80|100|475
50|75|85|20|30|40|300
75|100|110|45|55|65|450
55|47|52|40|40|41|275
70|62|67|55|55|56|365
90|82|87|75|85|76|495
46|57|40|40|40|50|273
61|72|57|55|55|65|365
81|92|77|85|75|85|495
70|45|48|60|65|35|323
95|70|73|85|90|60|473
38|41|40|50|65|65|299
73|76|75|81|100|100|505
115|45|20|45|25|20|270
140|70|45|75|50|45|425
40|45|35|30|40|55|245
75|80|70|65|75|90|455
45|50|55|75|65|30|320
60|65|70|85|75|40|395
75|80|85|100|90|50|480
35|70|55|45|55|25|285
60|95|80|60|80|30|405
60|55|50|40|55|45|305
70|65|60|90|75|90|450
10|55|25|35|45|95|265
35|80|50|50|70|120|405
40|45|35|40|40|90|290
65|70|60|65|65|115|440
50|52|48|65|50|55|320
80|82|78|95|80|85|500
40|80|35|35|45|70|305
65|105|60|60|70|95|455
55|70|45|70|50|60|350
90|110|80|100|80|95|555
40|50|40|40|40|90|300
65|65|65|50|50|90|385
90|85|95|70|90|70|500
25|20|15|105|55|90|310
40|35|30|120|70|105|400
55|50|45|135|85|120|490
70|80|50|35|35|35|305
80|100|70|50|60|45|405
90|130|80|65|85|55|505
50|75|35|70|30|40|300
65|90|50|85|45|55|390
80|105|65|100|60|70|480
40|40|35|50|100|70|335
80|70|65|80|120|100|515
40|80|100|30|30|20|300
55|95|115|45|45|35|390
80|110|130|55|65|45|485
50|85|55|65|65|90|410
65|100|70|80|80|105|500
90|65|65|40|40|15|315
95|75|110|100|80|30|490
25|35|70|95|55|45|325
50|60|95|120|70|70|465
52|65|55|58|62|60|352
35|85|45|35|35|75|310
60|110|70|60|60|100|460
65|45|55|45|70|45|325
90|70|80|70|95|70|475
80|80|50|40|50|25|325
105|105|75|65|100|50|500
30|65|100|45|25|40|305
50|95|180|85|45|70|525
30|35|30|100|35|80|310
45|50|45|115|55|95|405
60|65|60|130|75|110|500
35|45|160|30|45|70|385
60|48|45|43|90|42|328
85|73|70|73|115|67|483
30|105|90|25|25|50|325
55|130|115|50|50|75|475
40|30|50|55|55|100|330
60|50|70|80|80|140|480
60|40|80|60|45|40|325
95|95|85|125|65|55|520
50|50|95|40|50|35|320
60|80|110|50|80|45|425
50|120|53|35|110|87|455
50|105|79|35|110|76|455
90|55|75|60|75|30|385
40|65|95|60|45|35|340
65|90|120|85|70|60|490
80|85|95|30|30|25|345
105|130|120|45|45|40|485
250|5|5|35|105|50|450
65|55|115|100|40|60|435
105|95|80|40|80|90|490
30|40|70|70|25|60|295
55|65|95|95|45|85|440
45|67|60|35|50|63|320
80|92|65|65|80|68|450
30|45|55|70|55|85|340
60|75|85|100|85|115|520
40|45|65|100|120|90|460
70|110|80|55|80|105|500
65|50|35|115|95|95|455
65|83|57|95|85|105|490
65|95|57|100|85|93|495
65|125|100|55|70|85|500
75|100|95|40|70|110|490
20|10|55|15|20|80|200
95|125|79|60|100|81|540
130|85|80|85|95|60|535
48|48|48|48|48|48|288
55|55|50|45|65|55|325
130|65|60|110|95|65|525
65|65|60|110|95|130|525
65|130|60|95|110|65|525
65|60|70|85|75|40|395
35|40|100|90|55|35|355
70|60|125|115|70|55|495
30|80|90|55|45|55|355
60|115|105|65|70|80|495
80|105|65|60|75|130|515
160|110|65|65|110|30|540
90|85|100|95|125|85|580
90|90|85|125|90|100|580
90|100|90|125|85|90|580
41|64|45|50|50|50|300
61|84|65|70|70|70|420
91|134|95|100|100|80|600
106|110|90|154|90|130|680
100|100|100|100|100|100|600
45|49|65|49|65|45|318
60|62|80|63|80|60|405
80|82|100|83|100|80|525
39|52|43|60|50|65|309
58|64|58|80|65|80|405
78|84|78|109|85|100|534
50|65|64|44|48|43|314
65|80|80|59|63|58|405
85|105|100|79|83|78|530
35|46|34|35|45|20|215
85|76|64|45|55|90|415
60|30|30|36|56|50|262
100|50|50|76|96|70|442
40|20|30|40|80|55|265
55|35|50|55|110|85|390
40|60|40|40|40|30|250
70|90|70|60|60|40|390
85|90|80|70|80|130|535
75|38|38|56|56|67|330
125|58|58|76|76|67|460
20|40|15|35|35|60|205
50|25|28|45|55|15|218
90|30|15|40|20|15|210
35|20|65|40|65|20|245
55|40|85|80|105|40|405
40|50|45|70|45|70|320
65|75|70|95|70|95|470
55|40|40|65|45|35|280
70|55|55|80|60|45|365
90|75|75|115|90|55|500
75|80|85|90|100|50|480
70|20|50|20|50|40|250
100|50|80|50|80|50|410
70|100|115|30|65|30|410
90|75|75|90|100|70|500
35|35|40|35|55|50|250
55|45|50|45|65|80|340
75|55|70|55|85|110|450
55|70|55|40|55|85|360
30|30|30|30|30|30|180
75|75|55|105|85|30|425
65|65|45|75|45|95|390
55|45|45|25|25|15|210
95|85|85|65|65|35|430
